index,num_samples,indices,type
108,2,"[2401, 2156]",sim_dissim
109,2,"[7865, 6651]",random
110,2,"[6709, 2411]",half_random
111,2,"[5173, 243]",sim_dissim
112,2,"[1598, 2505]",random
113,2,"[8227, 2979]",half_random
114,2,"[2156, 7544]",sim_dissim
115,2,"[6351, 2661]",random
116,2,"[805, 425]",half_random
117,2,"[1907, 7752]",sim_dissim
118,2,"[476, 8161]",random
119,2,"[685, 7440]",half_random
120,2,"[2945, 4454]",sim_dissim
121,2,"[5727, 7321]",random
122,2,"[3435, 3191]",half_random
123,2,"[6988, 6175]",sim_dissim
124,2,"[5244, 695]",random
125,2,"[5408, 5606]",half_random
126,2,"[4927, 3542]",sim_dissim
127,2,"[2026, 2255]",random
128,2,"[5966, 1108]",half_random
129,2,"[7444, 137]",sim_dissim
130,2,"[82, 3905]",random
131,2,"[849, 8165]",half_random
132,2,"[5818, 3715]",sim_dissim
133,2,"[1125, 7931]",random
134,2,"[7488, 4791]",half_random
135,2,"[3110, 7444]",sim_dissim
136,2,"[1337, 3725]",random
137,2,"[7764, 5973]",half_random
138,2,"[7444, 7715]",sim_dissim
139,2,"[5669, 6928]",random
140,2,"[2547, 7832]",half_random
141,2,"[3325, 4252]",sim_dissim
142,2,"[7555, 907]",random
143,2,"[7997, 1314]",half_random
144,2,"[2156, 369]",sim_dissim
145,2,"[6095, 2913]",random
146,2,"[2786, 5842]",half_random
147,2,"[6660, 959]",sim_dissim
148,2,"[7696, 7719]",random
149,2,"[601, 790]",half_random
150,2,"[181, 6374]",sim_dissim
151,2,"[2834, 6555]",random
152,2,"[1816, 5406]",half_random
153,2,"[357, 7817]",sim_dissim
154,2,"[4771, 84]",random
155,2,"[640, 1484]",half_random
156,2,"[4736, 181]",sim_dissim
157,2,"[4943, 4690]",random
158,2,"[3645, 2061]",half_random
159,2,"[5657, 3325]",sim_dissim
160,2,"[7636, 7929]",random
161,2,"[381, 7637]",half_random
162,2,"[340, 7603]",sim_dissim
163,2,"[3010, 6634]",random
164,2,"[7999, 7509]",half_random
165,2,"[4255, 8393]",sim_dissim
166,2,"[7344, 1386]",random
167,2,"[2953, 7481]",half_random
168,2,"[8181, 2783]",sim_dissim
169,2,"[6635, 7901]",random
170,2,"[6812, 6135]",half_random
171,2,"[5745, 4927]",sim_dissim
172,2,"[3253, 7419]",random
173,2,"[579, 7286]",half_random
174,2,"[6389, 3715]",sim_dissim
175,2,"[2976, 2599]",random
176,2,"[1898, 3192]",half_random
177,2,"[7931, 7444]",sim_dissim
178,2,"[2379, 7337]",random
179,2,"[1038, 8212]",half_random
180,2,"[2969, 3376]",sim_dissim
181,2,"[5765, 8336]",random
182,2,"[2800, 7850]",half_random
183,2,"[4255, 3463]",sim_dissim
184,2,"[4930, 8177]",random
185,2,"[329, 3421]",half_random
186,2,"[4876, 2156]",sim_dissim
187,2,"[6189, 6682]",random
188,2,"[3698, 4817]",half_random
189,2,"[5447, 7622]",sim_dissim
190,2,"[2164, 377]",random
191,2,"[13, 6386]",half_random
192,2,"[7444, 3838]",sim_dissim
193,2,"[8056, 5628]",random
194,2,"[5197, 5278]",half_random
195,2,"[8267, 340]",sim_dissim
196,2,"[5668, 3474]",random
197,2,"[4827, 3411]",half_random
198,2,"[1758, 2299]",sim_dissim
199,2,"[3560, 5642]",random
200,2,"[5751, 5522]",half_random
201,2,"[4868, 3613]",sim_dissim
202,2,"[3454, 4655]",random
203,2,"[6, 2587]",half_random
204,2,"[5728, 3318]",sim_dissim
205,2,"[3945, 3751]",random
206,2,"[5743, 6133]",half_random
207,2,"[959, 6660]",sim_dissim
208,2,"[5596, 710]",random
209,2,"[4369, 4367]",half_random
210,2,"[124, 4353]",sim_dissim
211,2,"[1912, 6848]",random
212,2,"[1245, 2777]",half_random
213,2,"[6976, 340]",sim_dissim
214,2,"[5181, 7209]",random
215,2,"[1073, 3863]",half_random
216,2,"[4868, 5745]",sim_dissim
217,2,"[4193, 3383]",random
218,2,"[1254, 3676]",half_random
219,2,"[2156, 4449]",sim_dissim
220,2,"[1499, 6829]",random
221,2,"[3932, 7581]",half_random
222,2,"[3715, 3093]",sim_dissim
223,2,"[3890, 1142]",random
224,2,"[6589, 5668]",half_random
225,2,"[1923, 6663]",sim_dissim
226,2,"[7054, 7705]",random
227,2,"[3785, 7801]",half_random
228,2,"[2123, 5139]",sim_dissim
229,2,"[6384, 2099]",random
230,2,"[3636, 6512]",half_random
231,2,"[7243, 3542]",sim_dissim
232,2,"[652, 6055]",random
233,2,"[4040, 1986]",half_random
234,2,"[3318, 657]",sim_dissim
235,2,"[1174, 1279]",random
236,2,"[3243, 3632]",half_random
237,2,"[7603, 5502]",sim_dissim
238,2,"[3467, 2815]",random
239,2,"[7824, 3960]",half_random
240,2,"[5657, 4254]",sim_dissim
241,2,"[3290, 7680]",random
242,2,"[8042, 8386]",half_random
243,2,"[5588, 7444]",sim_dissim
244,2,"[49, 8014]",random
245,2,"[4695, 2550]",half_random
246,2,"[5173, 5840]",sim_dissim
247,2,"[4140, 1862]",random
248,2,"[3912, 3699]",half_random
249,2,"[680, 7444]",sim_dissim
250,2,"[5686, 5773]",random
251,2,"[6145, 6041]",half_random
252,2,"[5745, 7664]",sim_dissim
253,2,"[7712, 3353]",random
254,2,"[5623, 8077]",half_random
255,2,"[5139, 7867]",sim_dissim
256,2,"[7365, 3919]",random
257,2,"[2862, 423]",half_random
258,2,"[2156, 2451]",sim_dissim
259,2,"[3859, 2780]",random
260,2,"[5130, 6456]",half_random
261,2,"[306, 4712]",sim_dissim
262,2,"[7083, 685]",random
263,2,"[164, 6863]",half_random
264,2,"[5745, 4684]",sim_dissim
265,2,"[6628, 8132]",random
266,2,"[6405, 562]",half_random
267,2,"[4255, 364]",sim_dissim
268,2,"[5287, 1304]",random
269,2,"[3742, 1058]",half_random
270,2,"[4712, 7867]",sim_dissim
271,2,"[3966, 5946]",random
272,2,"[3909, 6504]",half_random
273,2,"[8212, 5450]",sim_dissim
274,2,"[6612, 6963]",random
275,2,"[2214, 8196]",half_random
276,2,"[3898, 1444]",sim_dissim
277,2,"[7888, 2640]",random
278,2,"[8241, 5753]",half_random
279,2,"[4255, 2641]",sim_dissim
280,2,"[5028, 5859]",random
281,2,"[3741, 864]",half_random
282,2,"[5326, 1498]",sim_dissim
283,2,"[2956, 4519]",random
284,2,"[6369, 5614]",half_random
285,2,"[4622, 1164]",sim_dissim
286,2,"[109, 7222]",random
287,2,"[6317, 6975]",half_random
288,2,"[3987, 7444]",sim_dissim
289,2,"[5396, 7577]",random
290,2,"[5999, 6867]",half_random
291,2,"[3850, 340]",sim_dissim
292,2,"[5220, 6855]",random
293,2,"[7791, 6582]",half_random
294,2,"[8316, 7444]",sim_dissim
295,2,"[2725, 7234]",random
296,2,"[7065, 3614]",half_random
297,2,"[6265, 2656]",sim_dissim
298,2,"[6370, 3946]",random
299,2,"[8176, 5181]",half_random
300,2,"[4003, 181]",sim_dissim
301,2,"[7234, 2766]",random
302,2,"[4137, 2943]",half_random
303,2,"[5282, 4255]",sim_dissim
304,2,"[2367, 7470]",random
305,2,"[4714, 4228]",half_random
306,2,"[5502, 3768]",sim_dissim
307,2,"[2049, 6109]",random
308,2,"[4144, 6075]",half_random
309,2,"[137, 1907]",sim_dissim
310,2,"[6744, 147]",random
311,2,"[2498, 1149]",half_random
312,2,"[2785, 4254]",sim_dissim
313,2,"[5639, 4940]",random
314,2,"[5497, 4018]",half_random
315,2,"[297, 669]",sim_dissim
316,2,"[2987, 5968]",random
317,2,"[6185, 2316]",half_random
318,2,"[4514, 4463]",sim_dissim
319,2,"[6117, 1641]",random
320,2,"[1008, 4226]",half_random
321,2,"[4024, 6988]",sim_dissim
322,2,"[2363, 6167]",random
323,2,"[7639, 5058]",half_random
324,2,"[5863, 3715]",sim_dissim
325,2,"[1927, 3071]",random
326,2,"[2552, 3025]",half_random
327,2,"[3093, 5502]",sim_dissim
328,2,"[376, 8276]",random
329,2,"[771, 4711]",half_random
330,2,"[5139, 1373]",sim_dissim
331,2,"[7411, 105]",random
332,2,"[8260, 2424]",half_random
333,2,"[2461, 4712]",sim_dissim
334,2,"[1562, 8202]",random
335,2,"[1088, 2133]",half_random
336,2,"[5023, 3715]",sim_dissim
337,2,"[4170, 626]",random
338,2,"[5348, 8278]",half_random
339,2,"[2008, 2722]",sim_dissim
340,2,"[719, 2112]",random
341,2,"[1498, 4748]",half_random
342,2,"[8212, 8297]",sim_dissim
343,2,"[6584, 4440]",random
344,2,"[5612, 3819]",half_random
345,2,"[3118, 3376]",sim_dissim
346,2,"[2601, 4839]",random
347,2,"[5176, 839]",half_random
348,2,"[8096, 4254]",sim_dissim
349,2,"[5604, 689]",random
350,2,"[2041, 2116]",half_random
351,2,"[5502, 5763]",sim_dissim
352,2,"[22, 3468]",random
353,2,"[6583, 5848]",half_random
354,2,"[181, 6804]",sim_dissim
355,2,"[2447, 5996]",random
356,2,"[3826, 5963]",half_random
357,2,"[3479, 447]",sim_dissim
358,2,"[6701, 6730]",random
359,2,"[3608, 2613]",half_random
360,2,"[5502, 5555]",sim_dissim
361,2,"[7716, 2263]",random
362,2,"[606, 2019]",half_random
363,2,"[3571, 4921]",sim_dissim
364,2,"[3729, 1058]",random
365,2,"[6763, 5856]",half_random
366,2,"[3382, 181]",sim_dissim
367,2,"[3719, 678]",random
368,2,"[512, 7550]",half_random
369,2,"[1866, 5173]",sim_dissim
370,2,"[215, 781]",random
371,2,"[8173, 3423]",half_random
372,2,"[3898, 896]",sim_dissim
373,2,"[6473, 6415]",random
374,2,"[2861, 3990]",half_random
375,2,"[4463, 4255]",sim_dissim
376,2,"[5389, 6912]",random
377,2,"[8232, 7114]",half_random
378,2,"[564, 2156]",sim_dissim
379,2,"[2828, 2727]",random
380,2,"[7282, 1404]",half_random
381,2,"[30, 2156]",sim_dissim
382,2,"[2452, 5632]",random
383,2,"[6900, 5702]",half_random
384,2,"[2561, 4921]",sim_dissim
385,2,"[2138, 2742]",random
386,2,"[1778, 8240]",half_random
387,2,"[7752, 4514]",sim_dissim
388,2,"[3516, 453]",random
389,2,"[2675, 4410]",half_random
390,2,"[4029, 3898]",sim_dissim
391,2,"[6451, 438]",random
392,2,"[2271, 2786]",half_random
393,2,"[3470, 2156]",sim_dissim
394,2,"[1034, 249]",random
395,2,"[6019, 3358]",half_random
396,2,"[3613, 271]",sim_dissim
397,2,"[4695, 3471]",random
398,2,"[1898, 1703]",half_random
399,2,"[181, 1250]",sim_dissim
400,2,"[4244, 7921]",random
401,2,"[4308, 4319]",half_random
402,2,"[6592, 959]",sim_dissim
403,2,"[2073, 3881]",random
404,2,"[7785, 1234]",half_random
405,2,"[4146, 364]",sim_dissim
406,2,"[7343, 589]",random
407,2,"[4038, 6555]",half_random
408,2,"[1592, 1843]",sim_dissim
409,2,"[6976, 23]",random
410,2,"[4234, 6165]",half_random
411,2,"[6503, 543]",sim_dissim
412,2,"[7342, 1261]",random
413,2,"[6484, 4571]",half_random
414,2,"[5543, 7444]",sim_dissim
415,2,"[3865, 7922]",random
416,2,"[7383, 4621]",half_random
417,2,"[4024, 543]",sim_dissim
418,2,"[1995, 7274]",random
419,2,"[5552, 370]",half_random
420,2,"[3761, 2156]",sim_dissim
421,2,"[8397, 5646]",random
422,2,"[4219, 1933]",half_random
423,2,"[5450, 1907]",sim_dissim
424,2,"[7387, 860]",random
425,2,"[6545, 837]",half_random
426,2,"[2319, 4921]",sim_dissim
427,2,"[7398, 5568]",random
428,2,"[2225, 636]",half_random
429,2,"[2656, 5173]",sim_dissim
430,2,"[5533, 680]",random
431,2,"[4521, 7245]",half_random
432,2,"[7817, 7218]",sim_dissim
433,2,"[5246, 580]",random
434,2,"[3457, 5359]",half_random
435,2,"[7603, 5502]",sim_dissim
436,2,"[8311, 839]",random
437,2,"[3782, 1186]",half_random
438,2,"[181, 896]",sim_dissim
439,2,"[2756, 6769]",random
440,2,"[1124, 2478]",half_random
441,2,"[5139, 4083]",sim_dissim
442,2,"[2079, 4522]",random
443,2,"[4813, 5887]",half_random
444,2,"[340, 3625]",sim_dissim
445,2,"[5181, 7407]",random
446,2,"[5264, 5469]",half_random
447,2,"[8212, 5672]",sim_dissim
448,2,"[1972, 3930]",random
449,2,"[3952, 3891]",half_random
450,2,"[827, 5139]",sim_dissim
451,2,"[5753, 4644]",random
452,2,"[2451, 634]",half_random
453,2,"[5282, 7444]",sim_dissim
454,2,"[5425, 8170]",random
455,2,"[6282, 5858]",half_random
456,2,"[4921, 2123]",sim_dissim
457,2,"[3286, 7259]",random
458,2,"[906, 7025]",half_random
459,2,"[1916, 8212]",sim_dissim
460,2,"[4881, 2515]",random
461,2,"[4301, 187]",half_random
462,2,"[4921, 7087]",sim_dissim
463,2,"[7729, 5145]",random
464,2,"[7289, 7068]",half_random
465,2,"[364, 4146]",sim_dissim
466,2,"[1864, 5421]",random
467,2,"[2660, 5280]",half_random
468,2,"[6962, 2008]",sim_dissim
469,2,"[2610, 6688]",random
470,2,"[6215, 278]",half_random
471,2,"[7195, 1472]",sim_dissim
472,2,"[2774, 6340]",random
473,2,"[1480, 6309]",half_random
474,2,"[4845, 1907]",sim_dissim
475,2,"[4503, 4255]",random
476,2,"[7058, 3935]",half_random
477,2,"[626, 7817]",sim_dissim
478,2,"[6336, 7390]",random
479,2,"[6833, 4816]",half_random
480,2,"[4921, 7346]",sim_dissim
481,2,"[6408, 8211]",random
482,2,"[3596, 7297]",half_random
483,2,"[959, 5630]",sim_dissim
484,2,"[6716, 3340]",random
485,2,"[2250, 161]",half_random
486,2,"[6110, 3318]",sim_dissim
487,2,"[4952, 3235]",random
488,2,"[927, 4823]",half_random
489,2,"[1923, 181]",sim_dissim
490,2,"[7772, 5173]",random
491,2,"[5492, 3017]",half_random
492,2,"[1883, 181]",sim_dissim
493,2,"[983, 1181]",random
494,2,"[8039, 604]",half_random
495,2,"[3898, 6378]",sim_dissim
496,2,"[829, 2003]",random
497,2,"[7719, 1164]",half_random
498,2,"[2313, 5173]",sim_dissim
499,2,"[4991, 6296]",random
500,2,"[2165, 7521]",half_random
501,2,"[1444, 2156]",sim_dissim
502,2,"[7979, 8084]",random
503,2,"[4074, 285]",half_random
504,2,"[364, 5173]",sim_dissim
505,2,"[8074, 2001]",random
506,2,"[5459, 840]",half_random
507,2,"[5139, 7752]",sim_dissim
508,2,"[3368, 2336]",random
509,2,"[8224, 2497]",half_random
510,2,"[3715, 1883]",sim_dissim
511,2,"[5458, 5440]",random
512,2,"[234, 433]",half_random
513,2,"[5745, 3559]",sim_dissim
514,2,"[572, 7049]",random
515,2,"[1761, 7792]",half_random
516,2,"[7444, 5240]",sim_dissim
517,2,"[6690, 7656]",random
518,2,"[2365, 31]",half_random
519,2,"[7640, 2156]",sim_dissim
520,2,"[6782, 1484]",random
521,2,"[5609, 1472]",half_random
522,2,"[7195, 181]",sim_dissim
523,2,"[6702, 6688]",random
524,2,"[3302, 5014]",half_random
525,2,"[4275, 4255]",sim_dissim
526,2,"[452, 1085]",random
527,2,"[4469, 6203]",half_random
528,2,"[124, 2156]",sim_dissim
529,2,"[6623, 3075]",random
530,2,"[5046, 7190]",half_random
531,2,"[3613, 3761]",sim_dissim
532,2,"[8032, 5247]",random
533,2,"[519, 6172]",half_random
534,2,"[5502, 6110]",sim_dissim
535,2,"[4066, 7202]",random
536,2,"[3635, 5542]",half_random
537,2,"[3898, 1883]",sim_dissim
538,2,"[7644, 688]",random
539,2,"[5165, 4609]",half_random
540,2,"[4449, 4255]",sim_dissim
541,2,"[5293, 5366]",random
542,2,"[8359, 4648]",half_random
543,2,"[7337, 7089]",sim_dissim
544,2,"[3841, 4283]",random
545,2,"[839, 6306]",half_random
546,2,"[1800, 6988]",sim_dissim
547,2,"[3833, 7544]",random
548,2,"[3357, 3511]",half_random
549,2,"[1883, 5139]",sim_dissim
550,2,"[6192, 799]",random
551,2,"[4471, 3633]",half_random
552,2,"[959, 594]",sim_dissim
553,2,"[5836, 7849]",random
554,2,"[568, 6772]",half_random
555,2,"[7867, 3715]",sim_dissim
556,2,"[817, 6332]",random
557,2,"[6883, 5418]",half_random
558,2,"[186, 5502]",sim_dissim
559,2,"[5698, 1044]",random
560,2,"[6162, 2999]",half_random
561,2,"[6528, 4353]",sim_dissim
562,2,"[2992, 875]",random
563,2,"[4323, 8276]",half_random
564,2,"[3898, 3111]",sim_dissim
565,2,"[7196, 911]",random
566,2,"[5304, 7181]",half_random
567,2,"[181, 5023]",sim_dissim
568,2,"[6863, 3647]",random
569,2,"[8280, 8000]",half_random
570,2,"[4874, 8393]",sim_dissim
571,2,"[1519, 2312]",random
572,2,"[4686, 7831]",half_random
573,2,"[5502, 5476]",sim_dissim
574,2,"[7387, 1210]",random
575,2,"[8202, 5570]",half_random
576,2,"[447, 3895]",sim_dissim
577,2,"[780, 6350]",random
578,2,"[7344, 1829]",half_random
579,2,"[3428, 4712]",sim_dissim
580,2,"[1335, 3142]",random
581,2,"[4732, 6134]",half_random
582,2,"[8212, 3669]",sim_dissim
583,2,"[7503, 443]",random
584,2,"[1344, 2313]",half_random
585,2,"[4449, 5290]",sim_dissim
586,2,"[5632, 3599]",random
587,2,"[7118, 5148]",half_random
588,2,"[3542, 5302]",sim_dissim
589,2,"[6409, 4355]",random
590,2,"[1549, 2927]",half_random
591,2,"[3895, 3325]",sim_dissim
592,2,"[4477, 5672]",random
593,2,"[386, 4595]",half_random
594,2,"[6663, 4336]",sim_dissim
595,2,"[66, 1731]",random
596,2,"[8029, 4184]",half_random
597,2,"[3089, 3147]",sim_dissim
598,2,"[2802, 1028]",random
599,2,"[158, 4219]",half_random
600,2,"[4467, 5502]",sim_dissim
601,2,"[4532, 5985]",random
602,2,"[3189, 4260]",half_random
603,2,"[3613, 3895]",sim_dissim
604,2,"[3702, 157]",random
605,2,"[7822, 6892]",half_random
606,2,"[657, 8212]",sim_dissim
607,2,"[4861, 3423]",random
608,2,"[2465, 5878]",half_random
609,2,"[1127, 5502]",sim_dissim
610,2,"[1459, 6812]",random
611,2,"[6892, 7058]",half_random
612,2,"[959, 1444]",sim_dissim
613,2,"[2065, 3698]",random
614,2,"[4438, 6020]",half_random
615,2,"[2087, 3542]",sim_dissim
616,2,"[1886, 2834]",random
617,2,"[652, 2151]",half_random
618,2,"[8212, 5818]",sim_dissim
619,2,"[7696, 6601]",random
620,2,"[2996, 4684]",half_random
621,2,"[181, 6338]",sim_dissim
622,2,"[2171, 1679]",random
623,2,"[5127, 2261]",half_random
624,2,"[2463, 340]",sim_dissim
625,2,"[3938, 6418]",random
626,2,"[8007, 6461]",half_random
627,2,"[1792, 8212]",sim_dissim
628,2,"[7344, 8253]",random
629,2,"[4818, 1282]",half_random
630,2,"[1444, 2156]",sim_dissim
631,2,"[5357, 2566]",random
632,2,"[5017, 4140]",half_random
633,2,"[3613, 4889]",sim_dissim
634,2,"[2638, 3935]",random
635,2,"[315, 6616]",half_random
636,2,"[3325, 1592]",sim_dissim
637,2,"[5482, 7346]",random
638,2,"[1235, 5224]",half_random
639,2,"[959, 1883]",sim_dissim
640,2,"[3835, 7723]",random
641,2,"[5560, 8125]",half_random
642,2,"[1150, 8212]",sim_dissim
643,2,"[4254, 1286]",random
644,2,"[3844, 836]",half_random
645,2,"[4514, 30]",sim_dissim
646,2,"[340, 2112]",random
647,2,"[3726, 6364]",half_random
648,2,"[4696, 5173]",sim_dissim
649,2,"[3280, 3460]",random
650,2,"[5758, 4696]",half_random
651,2,"[1866, 4921]",sim_dissim
652,2,"[806, 4747]",random
653,2,"[5571, 2406]",half_random
654,2,"[8393, 4255]",sim_dissim
655,2,"[690, 4938]",random
656,2,"[2338, 7780]",half_random
657,2,"[7444, 2149]",sim_dissim
658,2,"[5054, 6017]",random
659,2,"[1261, 2632]",half_random
660,2,"[4255, 1866]",sim_dissim
661,2,"[5478, 5694]",random
662,2,"[6071, 4315]",half_random
663,2,"[3116, 7444]",sim_dissim
664,2,"[1525, 8077]",random
665,2,"[3401, 2888]",half_random
666,2,"[4353, 5968]",sim_dissim
667,2,"[1320, 657]",random
668,2,"[7172, 4581]",half_random
669,2,"[5640, 6660]",sim_dissim
670,2,"[5613, 2858]",random
671,2,"[2191, 5069]",half_random
672,2,"[2722, 2008]",sim_dissim
673,2,"[7062, 5887]",random
674,2,"[2123, 6128]",half_random
675,2,"[1062, 959]",sim_dissim
676,2,"[5751, 6114]",random
677,2,"[3206, 8234]",half_random
678,2,"[3669, 3325]",sim_dissim
679,2,"[1987, 4537]",random
680,2,"[3205, 2637]",half_random
681,2,"[4606, 7444]",sim_dissim
682,2,"[3935, 6542]",random
683,2,"[4090, 6616]",half_random
684,2,"[4736, 2156]",sim_dissim
685,2,"[8207, 1382]",random
686,2,"[6814, 2765]",half_random
687,2,"[5936, 4514]",sim_dissim
688,2,"[7435, 3168]",random
689,2,"[7938, 7922]",half_random
690,2,"[1678, 181]",sim_dissim
691,2,"[709, 6490]",random
692,2,"[2012, 2323]",half_random
693,2,"[5763, 5745]",sim_dissim
694,2,"[780, 8039]",random
695,2,"[3459, 6938]",half_random
696,2,"[657, 5502]",sim_dissim
697,2,"[451, 3356]",random
698,2,"[3194, 6990]",half_random
699,2,"[3850, 2270]",sim_dissim
700,2,"[1908, 237]",random
701,2,"[7907, 4726]",half_random
702,2,"[4255, 4073]",sim_dissim
703,2,"[329, 2450]",random
704,2,"[5903, 6865]",half_random
705,2,"[959, 1250]",sim_dissim
706,2,"[7693, 675]",random
707,2,"[2185, 221]",half_random
708,2,"[5067, 4712]",sim_dissim
709,2,"[943, 6590]",random
710,2,"[4233, 2032]",half_random
711,2,"[2095, 5883]",sim_dissim
712,2,"[3558, 5420]",random
713,2,"[532, 6624]",half_random
714,2,"[5640, 1250]",sim_dissim
715,2,"[5391, 4393]",random
716,2,"[2041, 8244]",half_random
717,2,"[7444, 594]",sim_dissim
718,2,"[5219, 2997]",random
719,2,"[3593, 4843]",half_random
720,2,"[3625, 2270]",sim_dissim
721,2,"[579, 8102]",random
722,2,"[4616, 7603]",half_random
723,2,"[5447, 1564]",sim_dissim
724,2,"[5396, 3272]",random
725,2,"[2155, 5559]",half_random
726,2,"[7849, 3715]",sim_dissim
727,2,"[2043, 6227]",random
728,2,"[1421, 6543]",half_random
729,2,"[6564, 5502]",sim_dissim
730,2,"[4627, 2878]",random
731,2,"[2467, 7061]",half_random
732,2,"[3715, 7222]",sim_dissim
733,2,"[534, 6091]",random
734,2,"[6624, 311]",half_random
735,2,"[181, 5503]",sim_dissim
736,2,"[7523, 352]",random
737,2,"[4631, 7932]",half_random
738,2,"[1678, 2156]",sim_dissim
739,2,"[2156, 310]",random
740,2,"[2704, 2430]",half_random
741,2,"[5886, 7444]",sim_dissim
742,2,"[1052, 6793]",random
743,2,"[5030, 3726]",half_random
744,2,"[1213, 2156]",sim_dissim
745,2,"[8272, 1584]",random
746,2,"[7199, 5880]",half_random
747,2,"[7750, 7444]",sim_dissim
748,2,"[6802, 708]",random
749,2,"[6022, 679]",half_random
750,2,"[8297, 2783]",sim_dissim
751,2,"[2723, 873]",random
752,2,"[1000, 2784]",half_random
753,2,"[594, 2156]",sim_dissim
754,2,"[1414, 5860]",random
755,2,"[6563, 2981]",half_random
756,2,"[4912, 5173]",sim_dissim
757,2,"[2346, 5455]",random
758,2,"[927, 634]",half_random
759,2,"[5640, 1443]",sim_dissim
760,2,"[8096, 267]",random
761,2,"[2369, 7200]",half_random
762,2,"[3715, 1062]",sim_dissim
763,2,"[2014, 6618]",random
764,2,"[5016, 3090]",half_random
765,2,"[181, 3182]",sim_dissim
766,2,"[5765, 3817]",random
767,2,"[5193, 3164]",half_random
768,2,"[5447, 5863]",sim_dissim
769,2,"[4505, 3120]",random
770,2,"[5371, 2672]",half_random
771,2,"[3715, 8009]",sim_dissim
772,2,"[6241, 1586]",random
